id,focus,signal,slack,drag,confidence,score,lane
l001,search depth,35,33,6,25,141,watch
l002,boundary pressure,35,34,6,55,202,ship
l003,complexity,35,35,6,85,263,ship
l004,input width,35,36,18,25,120,watch
l005,search depth,35,37,18,55,181,ship
l006,boundary pressure,35,38,18,85,242,ship
l007,complexity,35,39,34,25,91,hold
l008,input width,35,40,34,55,152,watch
l009,search depth,35,41,34,85,213,ship
l010,boundary pressure,60,42,6,25,200,ship
l011,complexity,60,43,6,55,261,ship
l012,input width,60,44,6,85,322,ship
l013,search depth,60,45,18,25,179,ship
l014,boundary pressure,60,46,18,55,240,ship
l015,complexity,60,47,18,85,301,ship
l016,input width,60,48,34,25,150,watch
l017,search depth,60,32,34,55,194,ship
l018,boundary pressure,60,33,34,85,255,ship
l019,complexity,85,34,6,25,242,ship
l020,input width,85,35,6,55,303,ship
l021,search depth,85,36,6,85,364,ship
l022,boundary pressure,85,37,18,25,221,ship
l023,complexity,85,38,18,55,282,ship
l024,input width,85,39,18,85,343,ship
l025,search depth,85,40,34,25,192,ship
l026,boundary pressure,85,41,34,55,253,ship
l027,complexity,85,42,34,85,314,ship
